id,description
48382,Get Up To Rs.170 Discount on Bus Bookings (Upto Rs.120 Off on using promo-code and upto Rs.50 off on payment via freecharge)
48383,Avail Flat 72% Discount on Combo Of 6 T-Shirts For Men
48384,Get Flat 23% Discount on VOX v105 tablet
48385,Get 80% off + Additional 10% off on  Sports And Health Products
48386,Avail 80% discount + Additional 80% discount on footwear
48387,83% Off on Water Spray Gun 10 Meter
48388,Flat 71% Discount on Mocc Horn Bike & Car Horn Set With 18 Tunes
48389,Get 83% Off on Reliable 12000 mAh Dual USB Powerbank
48390,Avail Flat 76% off on Estrella Young Gym Bag
48391,63% off on Godrej Aer Click Air Freshener
48392,Avail 40% Off + Extra 20% Off on products listed at landing page
48393,Get Upto 70% Off on Hand Bags and Wallets
48394,"Clearance sale - Up to 60% Discount on TV, Audio and Large Applainces"
48395,Budget Thursday - Men's Apparel Max. price of Rs.199
48396,Phone tabulous Thursday on Selected Mobile Brands
48397,Cnavas Shoes Starts for just Rs.199
48398,Up to 80% Off on Gunmetal Watches
48399,Women's Fashion Apparels Starts @ just Rs.99
48400,Up to 35% Discount on Air Conditioners
48401,Furnishing Essentials All products under Rs.199
48402,Apparels And Accessories For Women Everything below Rs.399
48403,AURELIA Women's Indianwear Starts for Rs.299 only
48404,Avail Upto 70% Discount on Home Electronics Products
48405,2016  Fashion Sale - Get Flat 40% off on Bags
48406,Personal Care Appliances Starting for just Rs.259
48407,Kitchen Appliances Starting @ Rs.149
48408,Get Up To Rs.150 Off on Food Orders
48409,Win 1st Day Tickets For Kabali on products listed at landing page.
48410,10% OFF on Rakhi + Free Shipping
48411,Flat 10% discount + Free Shipping on products listed at landing page.
48412,Get Flat 10% Discount + Free Shipping on products listed at landing page.
48413,10% Discount + Free Shipping on products listed at landing page.
48414,Get Flat 10% discount + Free Shipping on products listed at landing page.
48415,Flat Rs.666 off on Air Costa domestic flight bookings
48416,Get 20% cash-back on Women's Lingerie (Max. Rs.200 cashback)
48417,Get Up To 80% off + Additional Rs.100 off on products listed at landing page.
48418,Flat 10% Off on Mini. Food Order of 1000 & 15% Off on Mini Order of 3000
48419,Buy 1 Get 1 Free on Men's Apparel
48420,Get 5% Cash back on Prepaid recharges on the Airtel Money app (for all operatoRs. on Min. Recharge of Rs.100)
48421,Rs.25 Cash-back on DTH recharges on the Airtel Money app (for all operatoRs. on Min. Recharge of Rs.250)
48422,Participate In Citizen Of Fashion 20 Lucky Winner Win Amazon Gift Card Worth Rs.1000
48423,Get Upto 50% discount on Home And Kitchen Appliance
48424,OnePlus 3 Smart Phone just @ Rs.27999
48425,All-New Kindle Tablets Rs.5999 only
48426,Extra 5% Cashback on all products (On order of minimum Rs.5000. on Payment via HDFC Bank Debit Cards only. Maximum cashback of Rs.500)
48427,Get Flat 15% discount on Rakhi Gifts (On min. shopping of Rs.899)
48428,Rs.50 Discount on Rakhi Catalogue (Min. Purchase of Rs.499)
48429,Get Flat 15% off on Rakhi Gifts For Brother
48430,Rs.100 off on Rakhi Catalogue (On cart-value of minimum Rs.699)
48431,Avail Flat 10% OFF on Rakhi Chocolate Hampers (On min. purchase of Rs.499)
48432,Mid Week Sale - Avail Up to 70% Discount on products listed at landing page
48433,Women Accessories at just Rs.299
48434,Get 4% Discount on all products (On min. cart-value of Rs.1500)
48435,Avail 51% Discount on Hosting Purchase Of First 3 Months
48436,Get 51% off on Hosting Purchase Of 1 Year
48437,Additional 5% off on Diamond Jewellery (On purchase of minimum Rs.10000)
48438,Bouquets Offer Starting at Rs.499
48439,Avail Free 2 movie tickets per month or Rs.500 Off on Booking With SBI Signature/Elite Credit Card
48440,Flat 30% off on Booking 2 movie tickets Digibank Debit Card
48441,Up to Rs.1200 Instant Savings on Domestic Flights (On Payment via HSBC Credit Cards only)
