"CustomerID","OfferID"
"4078","45436"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4055","26000"
"4060","49124"
"4060","49124"
"4060","46287"
"4060","49124"
"4060","44862"
"4060","44862"
"4060","46287"
"3908","16067"
"2270","49340"
"2270","49329"
"2270","37819"
"2270","42609"
"2270","49327"
"2270","47607"
"2270","48725"
"2270","49322"
"2270","49330"
"2270","37819"
"2270","49331"
"2270","47607"
"2270","49339"
"2270","49331"
"2270","42609"
"2270","49325"
"2270","49340"
"2270","49197"
"2270","48725"
"2270","49330"
"2270","49338"
"2270","43621"
"2270","49338"
"2270","43621"
"2270","49337"
"2270","49325"
"2270","49326"
"2270","49322"
"2270","49197"
"2270","49339"
"2270","49336"
"2270","49336"
"2270","49329"
"2270","49327"
"2270","49329"
"2270","49326"
"2270","49337"
"4062","45227"
"4062","49349"
"4062","47303"
"4062","47303"
"4062","47303"
"4062","47303"
"4062","29759"
"4062","49349"
"4062","29759"
"2251","39319"
"2251","39315"
"2251","39319"
"4000","26198"
"4000","26199"
"4000","31719"
"4000","26203"
"4000","26193"
"4000","26199"
"4000","26203"
"4000","26198"
"4000","26204"
"4000","26193"
"4000","26205"
"4000","26206"
"4000","31719"
"4000","31719"
"4075","30687"
"4000","42593"
"4075","30687"
"4075","49070"
"4076","47303"
"4076","47303"
"4076","47303"
"4074","20459"
"4074","32321"
"4074","32321"
"4074","20459"
"4074","20459"
"4077","11846"
"4077","11846"
"4062","47303"
"4062","47303"
"4062","49069"
"4062","49069"
"4062","49070"
"4062","49070"
"4062","38665"
"4062","38665"
"4062","49349"
"4062","47303"
"4062","49348"
"4062","47303"
"4062","49348"
"4062","47303"
"4062","49349"
"4062","45227"
"3908","42593"
"4078","49336"
"4078","49336"
"4078","49336"
"4062","46257"
"4062","46257"
"4064","24977"
"4064","24977"
"4064","21024"
"4066","29515"
"4066","26580"
"4066","26578"
"4066","26573"
"4066","26574"
"4066","26575"
"4066","26576"
"4066","26579"
"4066","26000"
"4066","26594"
"4066","26594"
"4066","26579"
"4066","26000"
"4066","29515"
"3943","20097"
"4068","32773"
"4068","32773"
"4068","32773"
"4068","32773"
"4056","42593"
"4069","37819"
"4069","43887"
"4069","43887"
"4069","46558"
"4069","43887"
"4069","43887"
"4069","48139"
"4069","48139"
"4069","37819"
"4069","33292"
"4069","46558"
"4069","48139"
"4069","40827"
"4069","40827"
"4069","40827"
"4069","46011"
"4069","42593"
"4069","46011"
"4069","30619"
"4069","33996"
"4069","33996"
"4069","33996"
"4069","33996"
"4069","30619"
"4069","26146"
"4069","39319"
"4069","26298"
"4069","26626"
"4069","26465"
"4069","41331"
"4069","41331"
"4069","41331"
"4069","39319"
"4071","42593"
"4071","40498"
"4071","29658"
"4071","29658"
"4071","42607"
"4071","47559"
"4071","29658"
"4071","33292"
"4068","28644"
"4068","28644"
"4068","28644"
"4068","28644"
"4068","26098"
"4073","47303"
"4073","45931"
"4073","45932"
"4073","45930"
"4073","45931"
"4073","45930"
"4073","45930"
"4045","43887"
"4045","26298"
"4045","26626"
"4045","43887"
"4045","26146"
"4045","26211"
"4045","26465"
"4045","26211"
"196","16148"
"196","16148"
"4047","46243"
"4048","45969"
"4048","45969"
"4048","42825"
"4049","45950"
"4049","47303"
"4049","45340"
"4049","45950"
"4049","47303"
"4049","45950"
"4049","45950"
"4049","45335"
"4049","45340"
"4049","45335"
"4049","45340"
"4049","45340"
"4050","47303"
"4050","47303"
"4050","47303"
"4052","46260"
"4052","46260"
"4052","46260"
"4016","37274"
"4016","37274"
"4055","26146"
"4055","26298"
"4055","26626"
"4055","26000"
"4055","26465"
"4055","26000"
"4055","26000"
"4056","49069"
"4058","45957"
"4058","43887"
"4058","42593"
"4058","45957"
"4058","42593"
"4061","23080"
"4061","23080"
"4061","26465"
"4061","26298"
"4061","23080"
"4061","23080"
"4061","26626"
"4061","26146"
"4061","46259"
"4061","33292"
"4061","33292"
"4061","32528"
"4061","32528"
"4061","49069"
"4061","48840"
"4061","49069"
"4061","49069"
"4061","48840"
"4061","46259"
"4061","49069"
"4034","33885"
"4035","26626"
"4035","26298"
"4035","26146"
"4035","45620"
"4035","26465"
"4035","45620"
"4035","26465"
"4035","26626"
"4035","47978"
"4035","47981"
"4035","26298"
"4035","26626"
"4035","42593"
"4035","26146"
"4035","47981"
"4035","26298"
"4035","26146"
"4035","30617"
"4035","47978"
"4035","26465"
"4036","45953"
"4036","45227"
"4036","45953"
"4037","26000"
"4037","26000"
"4038","28041"
"4038","42593"
"4038","28041"
"4038","28270"
"4038","28062"
"4040","49068"
"4040","49068"
"4040","49067"
"4040","49067"
"4040","49067"
"4040","49067"
"4040","45949"
"4040","49067"
"4040","49070"
"4040","48172"
"4040","48172"
"4040","49070"
"4040","49067"
"4040","49069"
"4040","49069"
"4040","45949"
"4040","45949"
"4040","45949"
"4042","42593"
"4020","48858"
"4020","48855"
"4020","48858"
"4020","48858"
"4020","48858"
"4043","39316"
"4043","39316"
"4043","39316"
"4043","42438"
"4043","30617"
"4043","26146"
"4043","26298"
"4043","42593"
"4043","26465"
"4043","26626"
"4039","42593"
"4039","28913"
"4039","28913"
"4016","37274"
"4016","45626"
"4016","45626"
"4016","46885"
"4016","46885"
"4000","17379"
"4000","17379"
"4017","11844"
"4017","49133"
"4017","29739"
"4017","29739"
"4017","11844"
"4017","11844"
"4017","11844"
"4017","11844"
"4018","26016"
"4018","26016"
"4019","20855"
"4019","20855"
"4019","24391"
"4019","24391"
"4021","39319"
"4021","39319"
"4021","39319"
"4021","39319"
"4021","39319"
"4021","47622"
"4021","39319"
"4021","39319"
"4021","48281"
"4021","48281"
"4021","48281"
"4021","48281"
"4021","48281"
"4021","48281"
"4021","48645"
"4021","48645"
"4021","48645"
"4021","39319"
"4021","39319"
"4024","45950"
"4019","34461"
"4019","34461"
"4019","44237"
"4019","44237"
"4019","44237"
"4019","44237"
"3968","26360"
"3968","26631"
"3968","26360"
"3968","26631"
"3968","26370"
"3968","26000"
"3968","29515"
"3968","26000"
"3968","26370"
"4027","11845"
"4027","11845"
"4027","45337"
"4027","48426"
"4027","48426"
"4027","45337"
"4027","11844"
"4027","11850"
"4027","43621"
"4027","11846"
"4027","11850"
"4027","11846"
"4027","11844"
"4027","11850"
"4027","43621"
"4027","43621"
"4019","20087"
"4019","20087"
